Dla      19.6 wyliczono :          7,5        12,1        31,7        51,3        24,2         4,6 
Dla   48.4336 wyliczono :         18,5        29,9        78,4       126,8        59,9        11,4 
Dla    -0.245 wyliczono :         -0,1        -0,2        -0,4        -0,6        -0,3        -0,1 
Dla      -0.2 wyliczono :         -0,1        -0,1        -0,3        -0,5        -0,2         0,0 
Dla        45 wyliczono :         17,2        27,8        72,8       117,8        55,6        10,6 
Dla        45 wyliczono :         17,2        27,8        72,8       117,8        55,6        10,6 
Dla      4554 wyliczono :       1739,5      2814,5      7368,5     11922,5      5629,1      1075,1 
Dla      4554 wyliczono :       1739,5      2814,5      7368,5     11922,5      5629,1      1075,1 
Dla         1 wyliczono :          0,4         0,6         1,6         2,6         1,2         0,2 
Dla         1 wyliczono :          0,4         0,6         1,6         2,6         1,2         0,2 
Dla         1 wyliczono :          0,4         0,6         1,6         2,6         1,2         0,2 
Dla       511 wyliczono :        195,2       315,8       826,8      1337,8       631,6       120,6 
Dla     51651 wyliczono :      19728,9     31922,1     83573,1    135224,1     63844,1     12193,1 
Dla     51651 wyliczono :      19728,9     31922,1     83573,1    135224,1     63844,1     12193,1 
Dla    516541 wyliczono :     197301,1    319239,9    835780,9   1352321,9    638479,8    121938,8 
Dla 5.16543e+06 wyliczono :    1973019,1   3192411,9   8357842,9  13523273,9   6384823,8   1219392,8 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla 5.16544e+07 wyliczono :   19730206,4  31924144,6  83578495,6 135232846,6  63848289,2  12193938,2 
Dla   516.544 wyliczono :        197,3       319,2       835,8      1352,3       638,5       121,9 
Dla     516.5 wyliczono :        197,3       319,2       835,7      1352,2       638,4       121,9 
Dla     51.65 wyliczono :         19,7        31,9        83,6       135,2        63,8        12,2 
Dla      51.7 wyliczono :         19,7        32,0        83,7       135,4        63,9        12,2 
